Gdepth,Gheading,Gpitch,Groll,PAD,RAD,OAD,depth,heading,pitch,roll,aoa,dz
7.150564155355561,197.30174758704544,5.917019104719149,-0.583575453230646,1826.7143535925404,1858.454182043524,1816.0864015695465,7.150564155355561,197.30174758704544,5.917019104719149,-0.583575453230646,-1.0407838259660864,0.03424702566062532
7.1598065490478335,197.43995726022527,5.76194272518198,-0.6910077121087614,1863.2057883590421,1858.1925648024853,1826.2246025375982,7.1598065490478335,197.43995726022527,5.76194272518198,-0.6910077121087614,-1.6884221301167734,0.009242393692272977
7.200633504626668,197.18734203427218,8.585354747793597,-0.7686072561159909,2011.5606971984953,1856.7573637355981,1815.5607328083183,7.200633504626668,197.18734203427218,8.585354747793597,-0.7686072561159909,-2.536545822876751,0.040826955578834756
7.222826328629207,197.0474858393141,6.014124081118833,-0.8502803938092264,2038.2441514650254,1855.3095231185955,1823.8829601172527,7.222826328629207,197.0474858393141,6.014124081118833,-0.8502803938092264,-0.5685696005316201,0.022192824002538636
7.2410862672733405,197.196639257363,18.609163607767073,-0.9139832487945273,2177.512766398393,1855.966056740738,1802.2145419660512,7.2410862672733405,197.196639257363,18.609163607767073,-0.9139832487945273,-2.6058612345803174,0.018259938644133555
7.319994288809699,197.42450529859184,9.19082677225906,-0.6909992782037719,2328.1148864510997,1857.7944260872446,1831.792829795229,7.319994288809699,197.42450529859184,9.19082677225906,-0.6909992782037719,-0.6909715313298461,0.07890802153635867
7.322624530072781,197.21250551873473,16.171280785147395,-0.5551677774964349,2201.0859062936447,1857.7320111043964,1817.0325530504226,7.322624530072781,197.21250551873473,16.171280785147395,-0.5551677774964349,-1.879580286879662,0.002630241263081423
7.358761800021414,197.3388059796171,23.55173684500256,-0.23847668269306194,1912.0870643574895,1858.0001540546984,1826.0442737601793,7.358761800021414,197.3388059796171,23.55173684500256,-0.23847668269306194,-3.290116255426522,0.03613726994863331
7.402662982595287,196.97771796866544,18.06291953238985,0.1641104899480525,2178.260086148641,1859.088576931335,1846.2871999670629,7.402662982595287,196.97771796866544,18.06291953238985,0.1641104899480525,-2.152821264180923,0.04390118257387332
7.440617410816822,197.31608860866262,23.8563863281157,-0.009577552355543195,2228.1750359403377,1857.613033869388,1852.3640994370273,7.440617410816822,197.31608860866262,23.8563863281157,-0.009577552355543195,-3.6211410454448316,0.03795442822153472
7.448325600460854,197.0572431380069,23.8563863281157,0.010298696695425524,1953.9866198983634,1858.986882029868,1852.4551128105118,7.448325600460854,197.0572431380069,23.8563863281157,0.010298696695425524,-3.1655665539949545,0.007708189644032082
7.484187565101192,197.12851325503087,23.8563863281157,-0.18366047710805047,1849.3086900542048,1860.4645006121816,1850.8541227316853,7.484187565101192,197.12851325503087,23.8563863281157,-0.18366047710805047,-4.304602351903715,0.03586196464033797
7.519895500232553,197.1348028530651,23.8563863281157,-0.30361974530709357,1990.2555061196235,1864.8526895310056,1847.9267666742473,7.519895500232553,197.1348028530651,23.8563863281157,-0.30361974530709357,-3.208752023578225,0.03570793513136117
7.523015605297331,196.8477930265763,23.8563863281157,-0.39474577746498474,1956.0157718767778,1864.243146754081,1834.5481896831839,7.523015605297331,196.8477930265763,23.8563863281157,-0.39474577746498474,-2.9100402639313456,0.0031201050647782225
7.531456347545476,197.62802771524963,23.8563863281157,-0.5561904281379628,1884.3689354078929,1863.5107130050162,1824.00706749603,7.531456347545476,197.62802771524963,23.8563863281157,-0.5561904281379628,-4.248139377289558,0.00844074224814495
7.564274942679755,197.60575615559182,23.8563863281157,-0.711890695480339,2127.719884236315,1864.8148439163945,1852.6461674087768,7.564274942679755,197.60575615559182,23.8563863281157,-0.711890695480339,-3.5266258502245083,0.03281859513427854
7.6279437078446675,197.53790715116327,23.8563863281157,-0.7076709271988155,1964.9061112094862,1866.1755095577403,1848.6305836848203,7.6279437078446675,197.53790715116327,23.8563863281157,-0.7076709271988155,-4.202060458846715,0.0636687651649126
7.648204969945858,197.56147528621082,23.8563863281157,-0.8870217921837055,1846.18599734211,1865.2775399605932,1831.013926606603,7.648204969945858,197.56147528621082,23.8563863281157,-0.8870217921837055,-4.10496464573347,0.02026126210119017
7.692102752725784,197.5363187810052,23.8563863281157,-0.7088185707040966,1895.3215146869402,1864.6149134916675,1819.1937704657405,7.692102752725784,197.5363187810052,23.8563863281157,-0.7088185707040966,-4.703387304319509,0.04389778277992651
7.718261388660867,197.33453535898852,23.8563863281157,-0.8369958932920222,1972.8267725401113,1865.5215362708147,1840.2684839656195,7.718261388660867,197.33453535898852,23.8563863281157,-0.8369958932920222,-2.3126830240507994,0.02615863593508294
7.74638578385706,197.30496170346,23.8563863281157,-0.3237547918843464,2066.1388365007842,1864.1546725783728,1852.3410050913023,7.74638578385706,197.30496170346,23.8563863281157,-0.3237547918843464,-2.512772774497307,0.02812439519619314
7.796668356788227,197.3920033043638,23.8563863281157,-0.3837097701469459,2225.5932051955997,1863.5023570898059,1861.8433451857034,7.796668356788227,197.3920033043638,23.8563863281157,-0.3837097701469459,-3.041024094990018,0.05028257293116667
7.83327274906702,197.56287747847162,23.8563863281157,-0.3523361223847837,2265.041147125909,1863.6871914104245,1854.6341668013558,7.83327274906702,197.56287747847162,23.8563863281157,-0.3523361223847837,-1.6062619972735412,0.036604392278793085
7.842485723750539,197.6362581437293,23.8563863281157,-0.5557957633955996,2351.368206188745,1865.3617961191549,1864.3539304065064,7.842485723750539,197.6362581437293,23.8563863281157,-0.5557957633955996,-3.7677036457857467,0.009212974683519448
7.883316236709826,197.49585262489765,23.8563863281157,-0.23974476219946822,2313.261210811236,1864.3655605484737,1849.2961118001588,7.883316236709826,197.49585262489765,23.8563863281157,-0.23974476219946822,-0.5466955341067208,0.0408305129592863
7.931481339945814,197.18056218940544,23.8563863281157,-0.03351399083812656,2328.682632929936,1861.3496394581769,1842.2956005804704,7.931481339945814,197.18056218940544,23.8563863281157,-0.03351399083812656,-3.8059873645805755,0.04816510323598866
8.009434684729564,197.13375481365318,23.277096206625068,0.025823505876209227,2351.145010706773,1858.2717493958085,1860.2706976407867,8.009434684729564,197.13375481365318,23.277096206625068,0.025823505876209227,-3.2363710792377436,0.07795334478374993
